"type","environment","flow","state","ownerId","created","modified"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM009 - Conocer campos de Lista Sharepoint","Started","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2023-11-29","2023-11-30"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM010 - Generar actividades de procesos de I+D","Started","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2023-12-06","2024-02-12"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM011 - Migrar historicos de ensayos I+D","Started","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2024-01-24","2025-05-09"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM012 - Migrar anulados de ensayos I+D","Started","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2024-01-24","2024-01-25"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM013 - Aviso de resultado de RCP","Started","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2024-10-11","2025-02-19"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM014 - Modelo Datos a Excel Online","Stopped","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2024-12-16","2024-12-29"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM015 - Modelo Datos a Excel Online","Stopped","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2024-12-29","2024-12-29"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM016 - Modelo Datos a Excel Online","Started","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2024-12-29","2025-02-26"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM019 - Modelo Datos a Colección - Cliente","Started","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2025-05-08","2025-05-08"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM020 - Generar actividades de procesos de I+D B2B","Started","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2025-01-13","2025-01-13"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM020 - Generar actividades de procesos de I+D B2C","Started","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2025-01-03","2025-01-06"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM020 - Generar actividades de procesos de I+D MAT","Started","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2025-01-16","2025-01-16"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM028 - Capturar cierre de tarea en Planner B2B","Suspended","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2025-01-13","2025-01-30"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM029 - Obtener Id de contenedores de Planner","Started","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2025-01-03","2025-01-20"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM030 - Generación Manual de Certificados de Garantía","Started","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2025-01-28","2025-01-28"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Log Cambios de archivos BI","Started","4e4fc93e-3450-466c-b283-0b3f53afd4a7","2026-02-25","2026-03-11"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","MANTENIMIENTO","Stopped","c5a9d275-dbe4-4b1d-93a1-f66e20584d8a","2025-05-07","2025-05-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","MANTENIMIENTO","Started","3fc19695-9bdf-4e13-b59f-e9ce55412e25","2026-01-09","2026-05-04"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","MATERIA PRIMA","Started","3fc19695-9bdf-4e13-b59f-e9ce55412e25","2026-01-12","2026-05-04"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","MDGEnvioCorreoDesdeSQL_01","Stopped","7d2b3b36-f960-485a-ae61-8d2d54df19aa","2025-05-09","2025-05-15"
